district_encoded,district_name,state
656,Surajpur,Odisha
657,Surat,Gujarat
658,Surendranagar,Gujarat
659,Surguja,Jharkhand
660,Suryapet,Telangana
661,Tamenglong,Manipur
662,Tamulpur,Madhya Pradesh
663,Tapi,Gujarat
664,Tarn Taran,Punjab
665,Tawang,Assam
666,Tehri Garhwal,Uttarakhand
667,Tengnoupal,Manipur
668,Tenkasi,Tamil Nadu
669,Thane,Maharashtra
670,Thanjavur,Tamil Nadu
671,The Nilgiris,Tamil Nadu
672,Theni,Tamil Nadu
673,Thiruvallur,Andhra Pradesh
674,Thiruvananthapuram,Kerala
675,Thiruvarur,Tamil Nadu
676,Thoothukkudi,Kerala
677,Thoubal,Manipur
678,Thrissur,Kerala
679,Tikamgarh,Haryana
680,Tinsukia,Assam
681,Tirap,Meghalaya
682,Tiruchirappalli,Tamil Nadu
683,Tirunelveli,Tamil Nadu
684,Tirupathur,Puducherry
685,Tirupati,Andhra Pradesh
686,Tiruppur,Tamil Nadu
687,Tiruvannamalai,Tamil Nadu
688,Tonk,Rajasthan
689,Tuensang,Assam
690,Tumakuru,Karnataka
691,Udaipur,Rajasthan
692,Udalguri,Assam
693,Udam Singh Nagar,Uttarakhand
694,Udhampur,Jammu And Kashmir
695,Udupi,Karnataka
696,Ujjain,Madhya Pradesh
697,Ukhrul,Manipur
698,Umaria,Madhya Pradesh
699,Una,Chandigarh
700,Unakoti,Tripura
701,Unnao,Uttar Pradesh
702,Upper Siang,Assam
703,Upper Subansiri,Meghalaya
704,Uttar Dinajpur,West Bengal
705,Uttar Kashi,Gujarat
706,Uttara Kannada,Karnataka
707,Vadodara,Uttar Pradesh
708,Vaishali,Bihar
709,Valsad,Gujarat
710,Varanasi,Uttar Pradesh
711,Vellore,Tamil Nadu
712,Vidisha,Madhya Pradesh
713,Vijayanagara,Tripura
714,Vijayapura,Karnataka
715,Vikarabad,Telangana
716,Viluppuram,Tamil Nadu
717,Virudhunagar,Tamil Nadu
718,Visakhapatnam,Andhra Pradesh
719,Vizianagaram,Andhra Pradesh
720,Wanaparthy,Andhra Pradesh
721,Warangal,Telangana
722,Wardha,Maharashtra
723,Washim,Maharashtra
724,Wayanad,Kerala
725,West,Sikkim
726,West Garo Hills,Meghalaya
727,West Godavari,Andhra Pradesh
728,West Jaintia Hills,Meghalaya
729,West Kameng,Meghalaya
730,West Karbi Anglong,Rajasthan
731,West Khasi Hills,Meghalaya
732,West Siang,Assam
733,West Singhbhum,Jharkhand
734,West Tripura,Assam
735,Wokha,Meghalaya
736,Yadadri Bhuvanagiri,Telangana
737,Yadgir,Karnataka
738,Yamunanagar,Chandigarh
739,Yavatmal,Maharashtra
740,Zunheboto,Meghalaya
